English,Spanish
Aachen,Aquisgrán
aah,"¡ay!, ¡ah!"
Aalborg,Aalborg
Aalenian,aaleniano
aalii,chirca
aardvark,cerdo hormiguero
aardwolf,"lobo de tierra, proteles"
Aaron,Aarón
Aaronic,aarónico
abaca,abacá
abacist,abacista
aback,"atrás, hacia atrás"
abacus,ábaco
Abadan,Abadán
Abaddon,Abadón
abaft,a popa
abalone,"oreja de mar, abulón, loco"
abandon,"renunciar, suspender"
abandon,abandonar
abandon,expulsar
abandon,renunciar
abandon,desenfreno
abandoned,"desenfrenado, desinhibido"
abandoned,abandonado
abandonment,"abandono, desamparo, dejación"
abandon ship,abandonar el barco
abapertural,abapertural
abase,"rebajar, degradar, humillar"
abasement,"rebajamiento, abatimiento, humillación"
abash,"confundir, avergonzar, abochornar"
abashed,avergonzado
abate,"abatir, humillar"
abate,"reducir, suprimir, menguar"
abatement,disminución
abattoir,"matadero, desolladero, degolladero, rastro, camal"
abaya,abaya
Abbasid,"abasí, abasida"
abbatial,abacial
abbess,abadesa
abbey,abadía
abbeystead,abadía
abbot,abad
abbreviate,abreviar
abbreviate,simplificar
abbreviated,abreviado
abbreviation,abreviación
abbreviature,abreviatura
abciximab,abciximab
abdest,abdesto
abdicate,abdicar
abdication,abdicación
abdomen,"abdomen, vientre"
abdominal,abdominal
abdominal cavity,cavidad abdominal
abdominoplasty,abdominoplastia
abduce,abducir
abduct,"raptar, secuestrar"
abduct,abducir
abduction,"rapto, secuestro"
abduction,abducción
abduction,rapto
abductor,"raptor, secuestrador"
abductor,abductor
Abdullah,"Abdullah, Abdullá"
Abecedarian,abecedariano
abecedary,abecedario
abed,"en cama, acostado"
Abel,Abel
Abelard,Abelardo
abelian,"abeliano, conmutativo"
Abelian,abelonita
abelian group,grupo abeliano
abelmosk,abelmosco
aberrance,aberración
aberrant,aberrante
aberrant,"aberrante, anormal"
aberrant,"anómalo, atípico"
aberration,aberración
aberration,"aberración, alienación, locura"
aberration,"aberración, enajenación mental, enfermedad mental, perturbación mental, trastorno mental"
abessive case,caso abesivo
abet,incitar
abet,ayudar
abettor,cómplice
abeyance,"expectativa, esperanza, suspenso"
abeyance,"suspensión, desuso, suspenso"
Abha,Abha
abhor,"aborrecer, detestar, abominar"
abhorrence,"aborrecimiento, odio, repugnancia"
abhorrent,repugnante
abide,"quedar, permanecer, resistir, aguantar, durar"
abide,"tolerar, soportar"
abide,"afrontar, apechugar con"
abide,"permanecer, quedar"
abide,"habitar, morar, residir"
abide,"aguardar, esperar"
abide by,"someterse, acatar, atenerse"
abide by,"someterse a, adherirse a, observar, respaldar"
Abidjan,Abiyán
Abigail,Abigaíl
Abigail,"Abigaíl, Abigail"
abigeat,"abigeato, cuatrero"
ability,"habilidad, capacidad"
ability,habilidad
ability,-abilidad
Abimelech,Abimelech
ab initio,"ab initio, desde el principio"
abiogenesis,"abiogénesis, autogénesis, generación espontánea"
abiotic,abiótico
a bird in the hand is worth two in the bush,más vale pájaro en mano que ciento volando (a bird in one hand is worth more than a hundred in flight)
a bit much,demasiado
abiu,caimito
abjad,"abyad, abjad"
abject,abatido
abjectly,abyectamente
abjure,abjurar
Abkhaz,abjasio
Abkhaz,"abjaso, abjasio"
Abkhazia,Abjasia
ablation,ablación
ablative,ablativo
ablative case,ablativo
ablaut,apofonía
ablaze,"ardiendo, en llamas"
ablaze,"radiante, ardiente, resplandeciente"
ablaze,en llamas
able,capaz
able,"diestro, hábil, capaz"
able,competente
able,"-able, -ible"
abled,capacitado
ableism,capacitismo
ablution,ablución
ably,hábilmente
abnegate,abnegar
abnegate,rechazar
abnegation,abnegación
abnormal,anormal
abnormality,anormalidad
abnormally,anormalmente
aboard,a bordo
aboard,a bordo de
abode,"morada, residencia, vivienda"
abolish,"abolir, suprimir, abrogar, quitar"
abolish,destrozar
abolishment,abolición
abolition,abolición
abolitionism,abolicionismo
abolitionist,abolicionista
abomasum,abomaso
A-bomb,bomba atómica
abominable,"abominable, aborrecible"
abominable snowman,abominable hombre de las nieves
abominably,abominablemente
abominate,"abominar, detestar"
abomination,abominación
abomination,"abominación, repugnancia, aborrecimiento"
abomination,"abominación, maldad"
aboriginal,"aborigen, indígena"
Aboriginal,"aborigen, aboriginal"
Aboriginal,aborigen
aborigine,"aborigen, indígena"
abort,aborto
abort,abortar
aborted,abortado
abortifacient,abortivo
abortion,"aborto, aborto involuntario"
abortion,"aborto, aborto inducido"
abortion,aborto
abortion,"aborto, engendro"
abortional,abortivo
abortionist,"abortista, abortero, abortera"
abortionist,abortista
abortive,abortivo
abortive,"fracasado, frustrado, malogrado"
abound,"abundar, ser abundante"
about,"alrededor de, por"
about,encima de
about,a punto de
about,"sobre, acerca de, de"
about,"sobre, acerca de"
about,cerca de
about,"cerca de, sobre [time]"
about,alrededor
about,alrededor de
about-face,"media vuelta, cambio de rumbo"
about-face,"media vuelta, virazón, cambio de rumbo"
about-face,"dar la media vuelta, darse media vuelta"
about-face,cambiar de rumbo
about time,"es hora, al fin"
about time,ya era hora
about to,a punto de
above,encima
above,"arriba, sobre, encima de"
above,sobre
above,arriba
above all,sobre todo
above-board,legítimo
above-mentioned,"sobredicho, antedicho"
above the curve,adelantado de su época
above the law,por encima de la ley
ab ovo,ab ovo
abracadabra,abracadabra
abrade,"escoriar, raspar"
Abraham,"Abraham, Abrahán"
Abram,Abram
abrasion,abrasión
abrasion,"erosión, abrasión"
abrasion,"abrasión, rasguño, raspadura"
abrasive,abrasivo
abrasive,"brusco, irritante"
abrasively,ásperamente
abrasively,"ásperamente, desabridamente"
abreast,al corriente
abreast,de lado a lado
abridge,"abreviar, condensar, compendiar"
abridge,"abreviar, resumir"
abridge,privar
abridged,abreviado
abridgment,"abreviación, compendio"
abroad,"[place] en el extranjero, en el exterior; [place] al extranjero"
abroad,"por todas partes, en todas direcciones"
abroad,al exterior
abrogable,abrogable
abrogate,"abrogar, derogar"
abrogation,abrogación
abrupt,"abrupto, brusco"
abrupt,"repentino, súbito, abrupto"
abrupt,"abrupto, brusco, cortante"
abrupt,"brusco, abrupto"
abrupt,abrupto
abruptly,abruptamente
abruptly,precipitadamente
Abruzzo,Abruzos
Absalom,Absalón
abscess,"absceso, flemón (gums)"
abscess,absceder
abscissa,abscisa
abscission,abscisión
abscond,"fugarse, evadirse"
abscond,"huir, fugarse"
absence,ausencia
absence,"ausencia, falta"
absence makes the heart grow fonder,nadie sabe lo que tiene hasta que lo pierde
absent,ausente
absent,"ausente, distraído"
absent,ausentarse
absentee,ausente
absent-minded,"distraído, despistado"
absent-mindedly,distraídamente
absent-mindedness,"abstracción, despiste, descuido"
absinthe,"ajenjo, absintio"
absinthe,ajenjo
absinthin,absintina
absolute,absoluto
absolute,"completo, pleno"
absolutely,"totalmente, absolutamente"
absolute majority,mayoría absoluta
absolute monarchy,monarquía absoluta
absolute pressure,presión absoluta
absolute space,espacio absoluto
absolute superlative,superlativo absoluto
absolute time,tiempo absoluto
absolute value,valor absoluto
absolute zero,cero absoluto
absolution,absolución
absolutism,absolutismo
absolutist,absolutista
absolutive case,caso absolutivo
absolve,"absolver, exculpar"
absolve,absolver
absolve,"absolver, exonerar"
absorb,absorber
absorbable,absorbible
absorbed,"absorto, ensimismado"
absorbency,absorbencia
absorbent,absorbente
absorbing,absorbente
absorption,absorción
absorption,concentración
abstain,abstenerse
abstain,retener
abstainer,abstemio
abstemious,"abstemio, sobrio"
abstemious,abstemio
abstention,abstención
abstergent,abstergente
abstersion,abstersión
abstersive,abstersivo
abstinence,"vigilia, abstinencia"
abstinence,abstinencia
abstinence,vigilia
abstinent,abstinente
abstract,"resumen, extracto"
abstract,abstracción
abstract,arte abstracto
abstract,extracto
abstract,abstracto
abstract,"abstraer, retirar, extraer"
abstract,"quitar, retirar, extraer"
abstract,resumir
abstract,abstraer
abstract,destilar
abstract,abstraerse
abstract,"abstraer, extraer"
abstract algebra,álgebra abstracta
abstraction,abstracción
abstractionism,abstraccionismo
abstractionist,abstraccionista
abstract noun,"sustantivo abstracto, nombre abstracto"
abstract number,número abstracto
abstract of title,resumen de título
abstruse,abstruso
absurd,absurdo
absurdism,"absurdismo, filosofía del absurdo"
absurdity,absurdidad
absurdity,"absurdo, absurdidad"
absurdly,absurdamente
Abu Dhabi,Abu Dabi
Abuja,Abuya
abulia,abulia
abulic,abúlico
abundance,abundancia
abundant,"abundante, copioso, cuantioso"
abundantly,abundantemente
abundant number,número abundante
Abundius,Abundio
abuse,abuso
abuse,abuso sexual
abuse,abusar
abuse,violar
abuse,engañar
abuse of discretion,abuso de discreción
abuser,abusador
abusive,abusivo
abut,"lindar, colindar, limitar"
abut,bordear
abutment,estribo
Abydos,Abidos
abysmal,"abismal, insondable"
abysmal,"atroz, desastroso"
abyss,abismo
abyss,"abismo, sima"
abyssal,abisal
Abyssinia,Abisinia
Abyssinian,abisinio
Abyssinian,"abisinio, abisinia"
abzyme,abzima
ac,"-aco, -aca"
AC,"CA, corriente alterna"
acacia,acacia
academic,académico
academic,"académico, escolar"
academically,académicamente
academician,"académico, académica, academista"
academician,académico
academic institution,"institución académica, institución de educación superior"
academy,academia
academy,cantera
Acadian,acadio
acai,azaí
acai,asaí
acalycine,acalicino
acanthaceous,acantáceo
acanthite,acantita
acanthocephalan,acantocéfalo
acanthosis,acantosis
acanthus,acanto
a cappella,a cappella
acarbose,acarbosa
acarophobia,acarofobia
acarpous,acarpo
acaulescent,acaule
Acayucan,Acayucan
accede,"acceder, consentir"
accede,"subir, acceder"
accelerate,acelerar
accelerate,"acelerar, apresurar"
accelerate,acelerarse
acceleration,aceleración
accelerationism,aceleracionismo
accelerator,acelerador
accelerator,"acelerador, [colloquial, Chile] chala, chancla [Costa Rica], chancleta [Colombia], chola [Venezuela]"
accelerator,"aceleradora de startups, aceleradora de semillas"
accelerometer,acelerómetro
accent,acento
accent,"acento, tilde"
accent,acentuar
accentor,acentor
accentuate,acentuar
accentuation,acentuación
accept,aceptar
acceptability,aceptabilidad
acceptable,aceptable
acceptably,aceptablemente
acceptance,aceptación
acceptor,aceptador
accept service,"recibir la notificación, darse por notificado"
access,acceso
access,acceder
access,"acceder, accesar"
access code,código de acceso
accessibility,accesibilidad
accessible,"accesible, asequible"
accessible,"accesible, abordable"
accession,ascenso
accessory,"accesorio, auxiliar"
accessory,cómplice
accessory,"accesorio, complemento"
accessory,accesorio
accessory after the fact,"cómplice encubridor, encubridor"
accessory before the fact,"cómplice instigador, instigador, inductor"
accessory fruit,infrutescencia
accident,accidente
accidental,"accidental, casual, imprevisto, fortuito"
accidentally,accidentalmente
accidentally on purpose,sin querer queriendo
acclaim,gritar
acclaim,aclamar
acclaim,"aclamar, aplaudir"
acclaim,aclamación
acclamation,aclamación
acclimate,aclimatar
acclimatization,aclimatación
acclimatize,aclimatarse
accolade,"elogio, espaldarazo"
accolade,galardón
accolade,"acolada, espaldarazo"
accommodate,acomodar
accommodate,"acoger, albergar"
accommodate,satisfacer
accommodate,"acomodar, adaptar"
accommodation,"alojamiento, hospedaje"
accommodation,acomodación
accompaniment,acompañamiento
accompanist,acompañante
accompany,acompañar
accomplice,cómplice
accomplice,"cómplice, fautor"
accomplish,"efectuar, realizar, lograr"
accomplish,completar
accomplished,"logrado, realizado, cumplido, consumado"
accomplishment,"logro, éxito"
accord,"acuerdo, convenio"
accord,acuerdo
accord,"acordar, concordar con"
accord,"conceder, conferir, otorgar"
accordance,"acuerdo, conformidad, arreglo"
accordingly,en consecuencia
accordingly,"por consiguiente, consecuentemente"
according to,"según, acorde a, con arreglo a"
according to,"según, acorde a, de acuerdo a, de acuerdo con"
according to one's understanding,según mi entender
accordion,acordeón
accordionist,acordeonista
accost,acercarse a
accoucheur,matrón
account,cuenta
account,reporte
account,"reporte, relato, versión, relato"
account,justificación
account,cálculo
accountability,responsabilidad
accountable,responsable
accountably,responsablemente
accountancy,contabilidad
accountant,"[Latin America] contador, contadora, [Spain] contable"
accountant,"contable [Spain], contador [Latin America]"
accountant,contable
account book,libro contable
accounting,contabilidad
accounts payable,"cuentas pendientes de pago, cuentas a pagar"
accounts receivable,deuda activa
account to,responder a
Accra,Acra
accredit,acreditar
accreditation,"acreditación, homologación"
accretion,"aumento, crecimiento, acreción, acrecencia"
accretion disk,disco de acrecimiento
accrual,"incremento, acumulación"
accrue,"acrecentar, acumular, aumentar"
accrue,devengar
accrue,adquirir
acculturate,aculturar
acculturation,aculturación
acculture,aculturar
accumulate,"acumular, amontonar"
accumulate,acumularse
accumulation,acumulación
accumulator,acumulador
accuracy,"exactitud, precisión"
accurate,"preciso, exacto, justo, correcto, certero"
accusation,acusación
accusative,acusativo
accusative,"acusativo, caso acusativo"
accusatory,acusatorio
accuse,"acusar, denunciar"
accused,acusado
accuser,acusador
accustom,"acostumbrarse, habituar"
accustomed,acostumbrado
accustomed,"acostumbrado, sólito"
AC,hacer a pelo y pluma
ace,as
ace,ace
ace,"pitcher experto, lanzador experto"
ace,es
acenaphthene,acenafteno
acene,"aceno, poliaceno"
ace of clubs,as de tréboles
ace of diamonds,"as de diamantes, as de oros"
ace of hearts,as de corazones
ace of spades,as de picos
aceous,-áceo
acerb,acerbo
acerbic,acerbo
acerbity,"acerbidad, amargura"
acerbity,acerbidad
acerola,"acerola, semeruco"
acetabulum,acetábulo
acetal,acetal
acetaldehyde,acetaldehído
acetalization,acetalización
acetamide,acetamida
acetaminophen,paracetamol
acetate,acetato
acetic,acético
acetic acid,ácido acético
acetify,acetificar
acetimeter,acetímetro
acetoacetic acid,ácido acetoacético
acetone,acetona
acetonitrile,acetonitrilo
acetyl,"acetilo, acetil"
acetyl chloride,cloruro de etanoilo
acetylcholine,acetilcolina
acetylcholinesterase,acetilcolinesterasa
acetylene,acetileno
acetylglucosamine,acetilglucosamina
acetylide,acetiluro
acetylneuraminic,acetilneuramínico
acetylneuraminic acid,ácido acetilneuramínico
acetylsalicylic,acetilsalicílico
acetylsalicylic acid,ácido acetilsalicílico
